id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6.02E+17,21099096,Paul,Loma Portal,32.751,-117.23176,Entire home/apt,350,2,0,4,114,0
46906636,31533012,Kelly,Balboa Park,32.71756,-117.13038,Entire home/apt,371,2,13,1,68,11
20211999,69887435,Hien,Clairemont Mesa,32.80877,-117.15899,Entire home/apt,194,2,361,1,129,43
26235199,151549558,Norm,San Carlos,32.78306,-117.05444,Entire home/apt,163,3,109,1,138,25
7.52E+17,266122732,TurnKey Vacation Rentals,Talmadge,32.75907,-117.08818,Entire home/apt,114,1,0,2,141,0
6.33E+17,126644161,Evolve,Mission Bay,32.80218,-117.22062,Entire home/apt,166,2,18,83,345,18
7.54E+17,77488584,Kawika,College Area,32.77446,-117.05183,Entire home/apt,140,30,0,1,263,0
48076131,46111373,Patricia,Loma Portal,32.74871,-117.22,Private room,84,4,41,3,12,19
2633036,13373801,Seif,El Cerritos,32.7585,-117.06831,Entire home/apt,97,31,61,1,81,5
48267848,310518952,Iris & Mauricio,Northwest,32.62738,-117.07055,Entire home/apt,211,1,53,3,259,17
32404527,126644161,Evolve,Northwest,32.65328,-117.07508,Entire home/apt,385,30,61,83,192,10
7.24E+17,481004924,Liz,Encanto,32.72819,-117.06126,Entire home/apt,150,28,4,1,220,4
8943604,46751208,Rosa,Northwest,32.63829,-117.08179,Private room,55,31,17,2,343,3
21985745,62040243,Jeanette,Rolando,32.7596,-117.05883,Entire home/apt,189,2,274,1,139,36
6.44E+17,156086844,Southern California Rentals,Clairemont Mesa,32.79989,-117.18695,Entire home/apt,100,1,4,24,329,4
6.54E+17,291499411,Isabel,Chollas View,32.7127895,-117.0916605,Entire home/apt,135,2,40,2,247,40
31088775,102252357,Lisa,Linda Vista,32.78836,-117.1665,Entire home/apt,135,31,64,1,115,1
7.43E+17,21339912,Kristin,Bird Land,32.7892061,-117.1560124,Private room,70,4,1,1,76,1
8.18E+17,37735190,Jason,Loma Portal,32.74593269,-117.2116061,Entire home/apt,129,1,8,1,144,8
7.53E+17,486356246,Thai,Bird Land,32.7902,-117.15725,Private room,72,1,3,1,80,3
7.04E+17,232824036,Hashim,Encanto,32.71505,-117.06391,Entire home/apt,155,3,23,1,81,23
5.62E+17,279277148,Leah,City Heights East,32.74355,-117.09086,Entire home/apt,141,1,23,7,361,23
30320296,227696714,Bonnie,Kearny Mesa,32.81832,-117.15765,Private room,101,2,137,1,207,29
49925871,382231764,Desiree,Pacific Beach,32.80367,-117.21928,Private room,152,1,1,1,90,1
7.25E+17,410159644,Josie,Oak Park,32.74176,-117.07527,Entire home/apt,96,2,11,1,206,11
54399369,23950695,Houman,Rolando,32.76126,-117.06068,Private room,50,10,5,6,212,4
1713841,708301,Susie And Marcelo,Clairemont Mesa,32.80862,-117.15669,Private room,45,2,64,1,59,5
54399356,23950695,Houman,Rolando,32.76324,-117.05911,Private room,54,10,6,6,202,5
7.67E+17,291499411,Isabel,Chollas View,32.7127683,-117.0916489,Entire home/apt,135,2,14,2,161,14
46530103,269358201,Fonda,Roseville,32.73602,-117.2235,Entire home/apt,116,2,81,1,312,51
52632786,57531575,Cynthia,Moreno Mission,32.77369,-117.20144,Private room,86,3,45,3,139,32
46038206,270127613,Nathan,Pacific Beach,32.80347,-117.21991,Entire home/apt,140,2,142,15,166,43
6.50E+17,40064764,Philip,College Area,32.7697007,-117.0595777,Private room,70,32,11,4,236,11
23577844,41746885,Elena,Clairemont Mesa,32.81407,-117.16706,Private room,64,1,8,1,348,1
6.59E+17,62599517,Greg,Roseville,32.73907825,-117.2182873,Entire home/apt,133,2,23,1,66,23
8.17E+17,300855162,Raushan,Bird Land,32.79207459,-117.155102,Private room,164,1,0,1,364,0
6.71E+17,13906579,Elena,Bay Park,32.8006,-117.20356,Private room,250,2,0,1,90,0
5.89E+17,284285448,Heather,Roseville,32.73494,-117.22103,Entire home/apt,270,2,59,1,72,59
10521694,16334360,Kit,Northwest,32.6264,-117.06299,Private room,95,2,72,2,320,17
7.17E+17,440213016,Deen,Bay Park,32.7918316,-117.191129,Entire home/apt,74,2,29,1,281,29
6.17E+17,456697664,Dena,Bird Land,32.79457,-117.15675,Entire home/apt,99,4,5,49,364,5
17207222,29286002,Ruth,Bay Ho,32.83247,-117.22964,Private room,89,2,253,1,318,39
21737618,25907198,Rena,College Area,32.77846,-117.08559,Private room,135,2,14,1,178,1
6.91E+17,4380681,Jennifer,University City,32.85446,-117.22786,Private room,87,2,14,2,13,14
22587010,18341333,Audrey,Pacific Beach,32.8112,-117.22234,Private room,106,3,15,1,83,3
23455177,172563683,Ht,Bay Ho,32.83224,-117.22144,Entire home/apt,158,3,202,1,121,38
6.67E+17,104933047,Alexander,Del Cerro,32.78278,-117.08568,Private room,68,1,0,1,83,0
6.18E+17,279009790,Carson,Grantville,32.78601,-117.08635,Entire home/apt,150,31,6,1,197,6
41291918,152506197,Lucie,College Area,32.76498,-117.08023,Private room,46,1,20,2,319,16
5.52E+17,387453633,Susie,College Area,32.76079,-117.0771,Entire home/apt,102,28,7,1,350,7
6.17E+17,140824245,Jaime,La Jolla Village,32.85826,-117.23187,Entire home/apt,208,5,1,2,321,1
7.21E+17,101824392,Richard,Southwest,32.60223,-117.08738,Private room,80,30,0,1,365,0
38579682,3533284,Katrina,Bay Ho,32.82186,-117.21426,Entire home/apt,110,2,227,2,140,64
54390298,152099471,Edward,La Jolla Village,32.857319,-117.234993,Private room,59,5,1,4,35,1
32606319,15108843,Lori,La Jolla,32.82581,-117.24806,Entire home/apt,160,10,11,1,203,3
5.99E+17,373817768,Mika,Del Cerro,32.78477,-117.08202,Entire home/apt,159,2,16,1,126,16
6.72E+17,456697664,Dena,Bird Land,32.79281,-117.15476,Entire home/apt,62,2,6,49,339,6
7.71E+17,35166525,Eleyna,University City,32.85163,-117.21437,Entire home/apt,420,2,16,2,305,16
5.88E+17,1397825,Carola,Loma Portal,32.748001,-117.216927,Entire home/apt,159,2,11,1,358,11
13477514,59263749,Walberto,Northwest,32.64317,-117.05873,Private room,199,2,68,1,179,4
6.65E+17,467918888,Elizabeth,Mission Bay,32.5816166,-117.0405837,Entire home/apt,62,31,26,1,237,26
7.73E+17,282314418,Semih,University City,32.85579,-117.22825,Private room,93,1,0,4,331,0
29587437,126644161,Evolve,Mission Bay,32.5764,-117.03292,Entire home/apt,485,3,76,83,347,16
31461538,132103907,Caree,Southwest,32.6239,-117.04648,Private room,53,2,103,2,61,29
7.49E+17,51424363,Filipe,Rolando,32.76113,-117.06458,Private room,49,1,38,1,15,38
8.27E+17,79904708,Mark,Bay Park,32.78415944,-117.2001281,Private room,46,31,0,10,197,0
52318240,192911947,Vaughn,Southcrest,32.69037,-117.11647,Private room,30,31,0,2,233,0
7.47E+17,29872894,Andrew,Webster,32.72144,-117.09259,Entire home/apt,492,2,12,3,251,12
43614791,35236647,Beany,University City,32.85295,-117.20316,Entire home/apt,243,31,56,2,53,1
7.39E+17,154680709,Anthony And Emily,Clairemont Mesa,32.815012,-117.179305,Entire home/apt,373,30,0,7,158,0
50553924,347817287,Bernadette,College Area,32.77581,-117.05357,Private room,67,1,102,1,349,58
38071112,115438970,Julie,Bay Park,32.8078,-117.19607,Entire home/apt,240,5,0,1,353,0
21746754,117985538,Sharon,La Jolla,32.83067,-117.26384,Entire home/apt,148,5,202,1,283,26
8.40E+17,503076752,Kathleen,San Carlos,32.78218813,-117.057848,Private room,50,1,3,2,341,3
37814252,44953200,Madison,Bay Park,32.80568,-117.20997,Entire home/apt,150,2,93,2,350,22
8.39E+17,499662709,Mason,La Jolla,32.8399162,-117.2688233,Entire home/apt,390,5,0,27,350,0
6.41E+17,420499573,Zinde,Mountain View,32.69394,-117.10185,Private room,101,1,19,2,90,19
7.52E+17,266122732,TurnKey Vacation Rentals,City Heights East,32.74769,-117.08541,Entire home/apt,123,1,1,2,115,1
6.94E+17,100011278,Jenevieve,University City,32.86292,-117.21296,Entire home/apt,254,2,10,1,295,10
38646033,295242098,Melly,Bay Park,32.77369,-117.2053,Entire home/apt,260,1,87,1,357,19
6.35E+17,70595571,Christoforos,Sky Line,32.704735,-117.053276,Entire home/apt,214,365,5,2,364,5
47508549,97330061,Lily,Mountain View,32.6972,-117.11682,Private room,80,31,16,1,365,5
8.49E+17,153324398,Gustavo,Darnall,32.75123254,-117.0588722,Private room,44,1,1,1,329,1
46350149,64369150,Porter,Mission Bay,32.80247821,-117.2198868,Entire home/apt,103,2,162,8,137,60
