id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
99094,522225,Marzio,Mission,37.76945,-122.42456,Entire home/apt,277,3,24,1,71,3
371595,165574,Jonathan,Presidio Heights,37.78146,-122.45619,Entire home/apt,75,30,252,1,123,5
663623,119920,Gwen,Mission,37.7562,-122.40944,Entire home/apt,240,2,43,1,234,7
106025,359730252,Clare,Downtown/Civic Center,37.78693,-122.41539,Entire home/apt,113,30,65,1,44,2
664307,3355966,Geoff,Mission,37.75292,-122.4186,Private room,94,2,473,2,353,38
664315,3355966,Geoff,Mission,37.75502,-122.41889,Entire home/apt,136,7,6,2,0,0
379349,1901233,Miriam,Haight Ashbury,37.76646,-122.44425,Entire home/apt,137,3,397,1,285,50
394575,1190192,Mike & Nic,Bernal Heights,37.74131,-122.41179,Entire home/apt,146,6,499,1,251,37
109883,566147,Adam,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,160,2,453,1,354,34
110825,568933,Michael,Bayview,37.71664,-122.38981,Entire home/apt,120,30,9,1,226,0
678556,3453060,Lorraine,Haight Ashbury,37.77426,-122.45376,Entire home/apt,165,5,464,1,80,33
680288,3463569,Ken,Mission,37.7523,-122.41395,Entire home/apt,175,2,301,1,300,25
400433,1583699,Tracy,Mission,37.76015,-122.42098,Entire home/apt,385,2,51,1,60,11
114401,580606,George,Castro/Upper Market,37.75939,-122.43051,Private room,115,1,687,1,338,55
409549,684131,Mary,Bernal Heights,37.73812,-122.41807,Entire home/apt,208,3,185,1,30,60
691023,3531780,Mickey,Castro/Upper Market,37.75757,-122.42693,Entire home/apt,500,4,48,1,19,11
121065,608445,Hassan,Western Addition,37.77117,-122.43292,Entire home/apt,100,30,36,2,303,0
122829,615007,D,South of Market,37.77341,-122.4208,Entire home/apt,80,30,72,1,45,2
699723,469757,Reid,Potrero Hill,37.76497,-122.39798,Entire home/apt,414,4,77,1,232,6
409560,2038517,Rennea,Ocean View,37.72034,-122.46745,Private room,56,30,17,1,93,2
413663,1371146,Alex,Noe Valley,37.7488,-122.44064,Entire home/apt,300,30,72,1,365,0
715543,3676663,Catherine Marie,Mission,37.76196,-122.41361,Entire home/apt,180,30,4,2,0,0
128230,634277,Maria,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,350,3,174,1,156,6
719431,783438,Phil,West of Twin Peaks,37.73993,-122.4686,Entire home/apt,96,5,430,2,76,61
415498,216682,Jay,Pacific Heights,37.79395,-122.42609,Entire home/apt,86,30,29,9,340,1
423300,1776403,Natallia,Mission,37.75686,-122.41019,Entire home/apt,104,28,31,5,166,3
132441,650862,Kurt,Bernal Heights,37.73987,-122.4234,Private room,82,1,180,1,165,27
424846,2112291,Martha,Inner Richmond,37.7835,-122.47445,Private room,196,2,247,2,208,15
720811,93873,Ron & Cherie,Inner Richmond,37.77739,-122.46161,Entire home/apt,166,3,280,1,59,28
133910,657327,Melissa,Visitacion Valley,37.72025,-122.40456,Entire home/apt,150,30,31,1,147,0
727866,1743076,Kevin & Esther,Outer Sunset,37.747253,-122.504105,Entire home/apt,158,1,563,1,138,56
727969,3729230,Grace,Noe Valley,37.7527,-122.43294,Entire home/apt,159,30,268,2,340,2
431862,1257432,San Francisco Life Real Estate,Downtown/Civic Center,37.78136,-122.42112,Entire home/apt,120,30,17,28,296,2
138221,674976,Phil,Inner Richmond,37.77664,-122.45586,Entire home/apt,140,30,81,3,68,3
437385,2172763,Melanie,Outer Richmond,37.77901881,-122.5037572,Private room,113,2,304,1,295,13
728884,3729230,Grace,Noe Valley,37.75277,-122.43517,Entire home/apt,195,30,143,2,365,2
734801,3832375,Basia,Pacific Heights,37.78972,-122.43086,Entire home/apt,255,31,34,1,317,4
734839,3832802,Kenji,North Beach,37.80074,-122.41048,Entire home/apt,295,30,197,1,34,6
438940,1841207,Craig,Castro/Upper Market,37.758919,-122.434776,Private room,82,2,119,1,205,32
442349,2198022,Judith,Western Addition,37.77528,-122.42706,Entire home/apt,150,30,20,1,0,0
738547,3860047,Robert,Russian Hill,37.80601,-122.41901,Entire home/apt,395,3,191,1,264,26
783821,137980,Jack,Castro/Upper Market,37.75919,-122.43723,Entire home/apt,395,30,23,3,46,1
784071,3772252,Timothy,Castro/Upper Market,37.7601,-122.42869,Entire home/apt,300,30,98,1,361,4
741327,9965793,The Twist,Nob Hill,37.79102,-122.40921,Entire home/apt,123,30,11,9,142,2
442397,2198311,Marianne,Outer Sunset,37.7587,-122.5088,Entire home/apt,277,4,143,1,56,12
794626,4186663,Justin,Excelsior,37.72882,-122.42539,Entire home/apt,107,2,325,1,296,33
444675,2206832,Athena,Glen Park,37.74088,-122.43251,Entire home/apt,206,30,11,2,305,3
455783,1421509,Matthew,Outer Sunset,37.7541,-122.50854,Private room,44,30,99,2,0,0
795254,4189517,Jane,Western Addition,37.77099,-122.43355,Entire home/apt,168,3,323,1,211,46
465723,305557,Sheila,Parkside,37.74033,-122.47144,Entire home/apt,160,30,452,1,356,1
808919,3022475,Susan,Western Addition,37.77819,-122.43721,Private room,140,3,142,3,334,22
467507,2320888,Jennifer,Bernal Heights,37.74797,-122.41111,Entire home/apt,164,3,326,1,271,47
745957,576273,Darren,Financial District,37.79492,-122.40312,Private room,500,30,0,3,365,0
810315,1504399,Skt Teo Melanie,Marina,37.80013,-122.42542,Private room,32,30,24,2,0,1
749990,2475480,Arthur,Haight Ashbury,37.77174,-122.43831,Entire home/apt,225,30,74,5,33,1
468490,285168,Bill,Russian Hill,37.80109,-122.41385,Entire home/apt,399,2,65,1,271,19
815183,4282539,Lily,Outer Mission,37.72979,-122.44791,Private room,42,30,13,1,82,1
470686,2335495,Hao,Mission,37.76761,-122.42474,Private room,125,1,308,2,0,0
752607,3958328,Lily,Mission,37.76548,-122.42032,Entire home/apt,325,5,374,1,100,39
819863,4306242,Michael And Polina,Inner Sunset,37.75868,-122.46912,Entire home/apt,88,2,120,1,293,27
754117,3967658,Ryan & Tricia,Haight Ashbury,37.77234,-122.44622,Entire home/apt,200,30,175,1,139,3
474107,2318089,In�s,Excelsior,37.72369,-122.42865,Private room,70,2,131,1,113,33
487019,2410550,Cecile,Potrero Hill,37.75622,-122.39821,Entire home/apt,249,5,30,1,274,4
758815,3998807,Jacinta,Marina,37.80304,-122.44187,Entire home/apt,137,30,27,1,310,2
765914,4038852,Garry,Mission,37.75778,-122.41316,Entire home/apt,400,7,56,1,365,6
767506,3807182,Jennifer,West of Twin Peaks,37.74412,-122.45273,Entire home/apt,410,2,136,1,264,12
487499,1682183,Daniel,Mission,37.75884,-122.42232,Entire home/apt,125,30,192,1,239,4
837045,4374318,Jolie,Western Addition,37.77028,-122.43156,Entire home/apt,249,2,62,2,8,5
769734,4060777,Annie,Mission,37.75796,-122.40913,Private room,83,2,124,1,97,15
774323,4085271,Jan,Mission,37.76034,-122.42394,Private room,127,2,444,2,119,26
838660,9965793,The Twist,Chinatown,37.790672,-122.407249,Entire home/apt,133,30,10,9,121,1
776239,4094089,Josh,Castro/Upper Market,37.75948,-122.44357,Entire home/apt,338,5,46,1,154,11
779109,4091830,Daniel,Mission,37.74869,-122.41935,Private room,170,30,174,2,363,1
856123,16382,Mark,Mission,37.76121,-122.41922,Private room,144,1,223,2,168,44
779575,4110614,Francisco,South of Market,37.77685,-122.41701,Private room,120,30,7,1,365,0
1498953,5088214,Anna & Irene,Bayview,37.73818,-122.38691,Entire home/apt,368,5,84,3,161,3
1148370,6295555,Shanon,Parkside,37.7435,-122.48473,Entire home/apt,67,31,40,1,328,2
1148625,6296873,Dennis,Haight Ashbury,37.76848,-122.44556,Private room,85,4,389,1,37,31
859310,4367968,Xarre & Vanya,Mission,37.75661,-122.42067,Private room,150,31,7,1,359,0
1150867,6307640,Annabelle,Castro/Upper Market,37.76658,-122.43825,Entire home/apt,320,2,397,1,352,23
859336,4499134,Anka,Castro/Upper Market,37.76728,-122.43866,Private room,102,2,433,1,73,48
